#Scan#,inchi_combined,inchi_key,inchi_key1,ClassyFy Status,Kingdom,Superclass,Class,Subclass,Parent Level 1,Parent Level 2,Parent Level 3,Parent Level 4,Parent Level 5
3803,"InChI=1S/C15H13NO2/c1-9(17)16-12-2-4-14-10(7-12)6-11-8-13(18)3-5-15(11)14/h2-5,7-8,18H,6H2,1H3,(H,16,17)",RAYOKTUAMJNEFH-UHFFFAOYSA-N,RAYOKTUAMJNEFH-UHFFFAOYSA-N,Completed,Organic compounds,Benzenoids,Fluorenes,NA,Fluorenes,NA,NA,NA,NA
3828,"InChI=1S/C11H16N4O4/c16-3-8-6(17)1-9(19-8)15-5-14-10-7(18)2-12-4-13-11(10)15/h4-9,16-18H,1-3H2,(H,12,13)/t6-,7+,8+,9+/m0/s1",FPVKHBSQESCIEP-JQCXWYLXSA-N,FPVKHBSQESCIEP-JQCXWYLXSA-N,Completed,Organic compounds,Organoheterocyclic compounds,Imidazodiazepines,NA,Imidazodiazepines,NA,NA,NA,NA
3835,"InChI=1S/C13H19NO/c1-5-12(14(3)4)13(15)11-8-6-10(2)7-9-11/h6-9,12H,5H2,1-4H3",UKVFBTRCNFUOFU-UHFFFAOYSA-N,UKVFBTRCNFUOFU-UHFFFAOYSA-N,Completed,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,Ketones,Aryl ketones,Phenylketones,Alkyl-phenylketones,NA
3839,"InChI=1S/C21H30O3/c1-4-5-6-7-14-11-18(23)20-16-10-15(13-22)8-9-17(16)21(2,3)24-19(20)12-14/h10-12,16-17,22-23H,4-9,13H2,1-3H3/t16-,17-/m1/s1",YCBKSSAWEUDACY-IAGOWNOFSA-N,YCBKSSAWEUDACY-IAGOWNOFSA-N,Completed,Organic compounds,Organoheterocyclic compounds,Benzopyrans,1-benzopyrans,"2,2-dimethyl-1-benzopyrans",NA,NA,NA,NA
3842,"InChI=1S/C8H9NO4/c9-7(8(12)13)4-1-5(10)3-6(11)2-4/h1-3,7,10-11H,9H2,(H,12,13)/t7-/m0/s1",HOOWCUZPEFNHDT-ZETCQYMHSA-N,HOOWCUZPEFNHDT-ZETCQYMHSA-N,Completed,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,Alpha amino acids and derivatives,Alpha amino acids,L-alpha-amino acids,NA
3851,"InChI=1S/C15H21NO6/c1-8(4-3-5-9(2)14(19)20)11-7-16-13(15(21)22)10(11)6-12(17)18/h3-5,9-11,13,16H,6-7H2,1-2H3,(H,17,18)(H,19,20)(H,21,22)/b5-3+,8-4-/t9-,10+,11-,13+/m1/s1",VZFRNCSOCOPNDB-AOKDLOFSSA-N,VZFRNCSOCOPNDB-AOKDLOFSSA-N,Completed,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,Kainoids,NA,NA,NA
3853,"InChI=1S/C18H37NO4S/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-18(20)19-16-17-24(21,22)23/h2-17H2,1H3,(H,19,20)(H,21,22,23)",LPDJCYFKKSLKRO-UHFFFAOYSA-N,LPDJCYFKKSLKRO-UHFFFAOYSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,N-acyl amines,NA,NA,NA,NA
3854,"InChI=1S/C15H22N4O6/c16-13(23)10-2-1-7-19(10)15(25)9(4-6-12(21)22)18-14(24)8-3-5-11(20)17-8/h8-10H,1-7H2,(H2,16,23)(H,17,20)(H,18,24)(H,21,22)",HYZBGWLLSXSYLX-UHFFFAOYSA-N,HYZBGWLLSXSYLX-UHFFFAOYSA-N,Completed,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides,Oligopeptides,NA,NA,NA
3855,"InChI=1S/C8H18O5/c9-1-3-11-5-7-13-8-6-12-4-2-10/h9-10H,1-8H2",UWHCKJMYHZGTIT-UHFFFAOYSA-N,UWHCKJMYHZGTIT-UHFFFAOYSA-N,Completed,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Ethers,Dialkyl ethers,Polyethylene glycols,NA,NA,NA
3878,"InChI=1S/C12H18O3/c1-2-3-4-5-10-9(8-12(14)15)6-7-11(10)13/h3-4,9-10H,2,5-8H2,1H3,(H,14,15)/b4-3-/t9-,10+/m1/s1",ZNJFBWYDHIGLCU-QKMQQOOLSA-N,ZNJFBWYDHIGLCU-QKMQQOOLSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Lineolic acids and derivatives,Jasmonic acids,NA,NA,NA,NA
3880,"InChI=1S/C10H19N3O4/c1-6(2)3-7(11)10(17)13-4-8(14)12-5-9(15)16/h6-7H,3-5,11H2,1-2H3,(H,12,14)(H,13,17)(H,15,16)",VWHGTYCRDRBSFI-UHFFFAOYSA-N,VWHGTYCRDRBSFI-UHFFFAOYSA-N,Completed,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides,Oligopeptides,NA,NA,NA
3889,"InChI=1S/C23H30O5/c24-18(13-12-17-8-4-3-5-9-17)14-15-20-19(21(25)16-22(20)26)10-6-1-2-7-11-23(27)28/h1,3-6,8-9,14-15,18-21,24-25H,2,7,10-13,16H2,(H,27,28)/b6-1-,15-14+/t18?,19?,20-,21?/m1/s1",OAQGPAZDRCBBLD-WJDRPYOGSA-N,OAQGPAZDRCBBLD-WJDRPYOGSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Eicosanoids,Prostaglandins and related compounds,NA,NA,NA,NA
3916,"InChI=1S/C20H28O6S/c21-14(12-26-15-9-10-27-13-15)7-8-17-16(18(22)11-19(17)23)5-3-1-2-4-6-20(24)25/h1,3,7-10,13-14,16-19,21-23H,2,4-6,11-12H2,(H,24,25)/b3-1+,8-7+",FYBFDIIAPRHIQS-SYJKBYRUSA-N,FYBFDIIAPRHIQS-SYJKBYRUSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Eicosanoids,Prostaglandins and related compounds,NA,NA,NA,NA
3917,"InChI=1S/C22H27FO6/c1-12-8-16-15-5-4-13-9-14(25)6-7-19(13,2)21(15,23)17(26)10-20(16,3)22(12,18(27)28)29-11-24/h6-7,9,11-12,15-17,26H,4-5,8,10H2,1-3H3,(H,27,28)/t12-,15+,16+,17+,19+,20+,21+,22+/m1/s1",OXMUBZJVZDQGKL-CXSFZGCWSA-N,OXMUBZJVZDQGKL-CXSFZGCWSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Steroid esters,Steroid esters,NA,NA,NA,NA
3939,"InChI=1S/C31H33N3O6S/c1-20-8-4-7-11-29(20)41(37,38)33-30(35)22-13-12-21(28(17-22)39-3)16-23-19-34(2)27-15-14-24(18-26(23)27)32-31(36)40-25-9-5-6-10-25/h4,7-8,11-15,17-19,25H,5-6,9-10,16H2,1-3H3,(H,32,36)(H,33,35)",YEEZWCHGZNKEEK-UHFFFAOYSA-N,YEEZWCHGZNKEEK-UHFFFAOYSA-N,Completed,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzenesulfonamides,Benzenesulfonamides,NA,NA,NA,NA
3974,"InChI=1S/C10H22O6/c11-1-3-13-5-7-15-9-10-16-8-6-14-4-2-12/h11-12H,1-10H2",JLFNLZLINWHATN-UHFFFAOYSA-N,JLFNLZLINWHATN-UHFFFAOYSA-N,Completed,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Ethers,Dialkyl ethers,Polyethylene glycols,NA,NA,NA
4002,"InChI=1S/C17H24O6/c1-7-5-10-13(8(2)16(21)23-10)15(20)17(4)12(19)6-11(14(7)17)22-9(3)18/h7,10-15,19-20H,2,5-6H2,1,3-4H3/t7-,10-,11+,12-,13-,14-,15+,17-/m1/s1",TVXMVPIXPQJTJQ-ZBUGIYPBSA-N,TVXMVPIXPQJTJQ-ZBUGIYPBSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Terpene lactones,Sesquiterpene lactones,NA,NA,NA,NA
4003,"InChI=1S/C10H22O6/c11-1-3-13-5-7-15-9-10-16-8-6-14-4-2-12/h11-12H,1-10H2",JLFNLZLINWHATN-UHFFFAOYSA-N,JLFNLZLINWHATN-UHFFFAOYSA-N,Completed,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Ethers,Dialkyl ethers,Polyethylene glycols,NA,NA,NA
4017,"InChI=1S/C23H38O4/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-23(26)27-21-22(25)20-24/h6-7,9-10,12-13,15-16,22,24-25H,2-5,8,11,14,17-21H2,1H3/b7-6-,10-9-,13-12-,16-15-",DCPCOKIYJYGMDN-DOFZRALJSA-N,DCPCOKIYJYGMDN-DOFZRALJSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Glycerolipids,Monoradylglycerols,Monoacylglycerols,NA,NA,NA,NA
4018,"InChI=1S/C23H38O4/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-23(26)27-21-22(25)20-24/h6-7,9-10,12-13,15-16,22,24-25H,2-5,8,11,14,17-21H2,1H3/b7-6-,10-9-,13-12-,16-15-",DCPCOKIYJYGMDN-DOFZRALJSA-N,DCPCOKIYJYGMDN-DOFZRALJSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Glycerolipids,Monoradylglycerols,Monoacylglycerols,NA,NA,NA,NA
4032,"InChI=1S/C16H28O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16(17)18/h1H,3-15H2,(H,17,18)",PUZGUNYANHPRKM-UHFFFAOYSA-N,PUZGUNYANHPRKM-UHFFFAOYSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Long-chain fatty acids,NA,NA,NA,NA
4033,"InChI=1S/C16H28O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16(17)18/h1H,3-15H2,(H,17,18)",PUZGUNYANHPRKM-UHFFFAOYSA-N,PUZGUNYANHPRKM-UHFFFAOYSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Long-chain fatty acids,NA,NA,NA,NA
4034,"InChI=1S/C16H28O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16(17)18/h1H,3-15H2,(H,17,18)",PUZGUNYANHPRKM-UHFFFAOYSA-N,PUZGUNYANHPRKM-UHFFFAOYSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Long-chain fatty acids,NA,NA,NA,NA
4035,"InChI=1S/C16H28O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16(17)18/h1H,3-15H2,(H,17,18)",PUZGUNYANHPRKM-UHFFFAOYSA-N,PUZGUNYANHPRKM-UHFFFAOYSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Long-chain fatty acids,NA,NA,NA,NA
4036,"InChI=1S/C8H14O7/c9-7(10)5-14-3-1-13-2-4-15-6-8(11)12/h1-6H2,(H,9,10)(H,11,12)",HJZZQNLKBWJYPD-UHFFFAOYSA-N,HJZZQNLKBWJYPD-UHFFFAOYSA-N,Completed,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Dicarboxylic acids and derivatives,Dicarboxylic acids and derivatives,NA,NA,NA,NA
4037,"InChI=1S/C15H23NO6/c1-10(4-3-5-11(2)14(19)20)8-9-16-12(15(21)22)6-7-13(17)18/h5,8,12,16H,3-4,6-7,9H2,1-2H3,(H,17,18)(H,19,20)(H,21,22)/p+1/b10-8+,11-5+/t12-/m0/s1",GLOMHRXTBJVWKY-UIZYFNENSA-O,GLOMHRXTBJVWKY-UIZYFNENSA-O,Not Found,NA,NA,NA,NA,NA,NA,NA,NA,NA
4048,"InChI=1S/C15H23NO6/c1-10(4-3-5-11(2)14(19)20)8-9-16-12(15(21)22)6-7-13(17)18/h5,8,12,16H,3-4,6-7,9H2,1-2H3,(H,17,18)(H,19,20)(H,21,22)/p+1/b10-8+,11-5+/t12-/m0/s1",GLOMHRXTBJVWKY-UIZYFNENSA-O,GLOMHRXTBJVWKY-UIZYFNENSA-O,Not Found,NA,NA,NA,NA,NA,NA,NA,NA,NA
4055,"InChI=1S/C20H30O3/c1-14-5-8-17-19(2,13-21)10-4-11-20(17,3)16(14)7-6-15-9-12-23-18(15)22/h9,16-17,21H,1,4-8,10-13H2,2-3H3/t16-,17-,19+,20+/m1/s1",WKKBRRFSRMDTJB-JYBIWHBTSA-N,WKKBRRFSRMDTJB-JYBIWHBTSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Terpene lactones,Diterpene lactones,NA,NA,NA,NA
4122,"InChI=1S/C23H38FNO/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-22(2)23(26)25-21-20-24/h7-8,10-11,13-14,16-17,22H,3-6,9,12,15,18-21H2,1-2H3,(H,25,26)/b8-7-,11-10-,14-13-,17-16-",HMMNZALKMVCHHZ-ZKWNWVNESA-N,HMMNZALKMVCHHZ-ZKWNWVNESA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,N-acyl amines,NA,NA,NA,NA
4126,"InChI=1S/C17H37NO2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-17(20)16(18)15-19/h16-17,19-20H,2-15,18H2,1H3/t16-,17+/m0/s1",KFQUQCFJDMSIJF-DLBZAZTESA-N,KFQUQCFJDMSIJF-DLBZAZTESA-N,Completed,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines,Alkanolamines,"1,2-aminoalcohols",NA,NA,NA
4140,"InChI=1S/C23H15ClO3/c24-16-12-10-15(11-13-16)19(14-6-2-1-3-7-14)23(27)20-21(25)17-8-4-5-9-18(17)22(20)26/h1-13,19-20H",UDHXJZHVNHGCEC-UHFFFAOYSA-N,UDHXJZHVNHGCEC-UHFFFAOYSA-N,Completed,Organic compounds,Benzenoids,Benzene and substituted derivatives,Diphenylmethanes,Diphenylmethanes,NA,NA,NA,NA
4148,"InChI=1S/C19H14O5/c1-23-18(21)15(13-10-6-3-7-11-13)17-16(20)14(19(22)24-17)12-8-4-2-5-9-12/h2-11,20H,1H3/b17-15+",OMZRMXULWNMRAE-BMRADRMJSA-N,OMZRMXULWNMRAE-BMRADRMJSA-N,Completed,Organic compounds,Organoheterocyclic compounds,Dihydrofurans,Furanones,Butenolides,NA,NA,NA,NA
4195,"InChI=1S/C17H16O7/c1-8-4-11(19)15(12(20)5-8)16(21)14-10(17(22)24-3)6-9(18)7-13(14)23-2/h4-7,18-20H,1-3H3",YJRLSCDUYLRBIZ-UHFFFAOYSA-N,YJRLSCDUYLRBIZ-UHFFFAOYSA-N,Completed,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzophenones,Benzophenones,NA,NA,NA,NA
4206,"InChI=1S/C22H26O6/c1-23-17-7-5-13(9-19(17)25-3)21-15-11-28-22(16(15)12-27-21)14-6-8-18(24-2)20(10-14)26-4/h5-10,15-16,21-22H,11-12H2,1-4H3/t15-,16-,21+,22+/m0/s1",PEUUVVGQIVMSAW-RZTYQLBFSA-N,PEUUVVGQIVMSAW-RZTYQLBFSA-N,Completed,Organic compounds,"Lignans, neolignans and related compounds",Furanoid lignans,NA,Furanoid lignans,NA,NA,NA,NA
4217,"InChI=1S/C22H38O5/c1-4-5-14-22(2,26)15-10-12-18-17(19(23)16-20(18)24)11-8-6-7-9-13-21(25)27-3/h10,12,17-18,20,24,26H,4-9,11,13-16H2,1-3H3/b12-10+/t17-,18-,20+,22?/m1/s1",OJLOPKGSLYJEMD-XRULAAHKSA-N,OJLOPKGSLYJEMD-XRULAAHKSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Eicosanoids,Prostaglandins and related compounds,NA,NA,NA,NA
4233,"InChI=1S/C25H36O2/c1-16(2)7-6-8-17(3)20-11-12-25(5)14-21-18(4)13-23(27)24(21)19(15-26)9-10-22(20)25/h6-9,13,17,20-22,24,26H,10-12,14-15H2,1-5H3/b8-6-,19-9-/t17-,20+,21+,22-,24?,25+/m0/s1",GUXDHNIKRQCWIE-WMZUYDDLSA-N,GUXDHNIKRQCWIE-WMZUYDDLSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Sesterterpenoids,Ophiobolane sesterterpenoids,NA,NA,NA,NA
4239,"InChI=1S/C24H44O8/c1-2-6-22-21(5-1)29-17-13-25-9-10-27-15-19-31-23-7-3-4-8-24(23)32-20-16-28-12-11-26-14-18-30-22/h21-24H,1-20H2",QMLGNDFKJAFKGZ-UHFFFAOYSA-N,QMLGNDFKJAFKGZ-UHFFFAOYSA-N,Completed,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Ethers,Dialkyl ethers,NA,NA,NA,NA
4261,"InChI=1S/C14H16N2O5S/c1-21-8-9-3-2-6-16(9)22(19,20)10-4-5-12-11(7-10)13(17)14(18)15-12/h4-5,7,9H,2-3,6,8H2,1H3,(H,15,17,18)",SLQMNVJNDYLJSF-UHFFFAOYSA-N,SLQMNVJNDYLJSF-UHFFFAOYSA-N,Completed,Organic compounds,Organoheterocyclic compounds,Indoles and derivatives,Indolines,Indolines,NA,NA,NA,NA
4353,"InChI=1S/C18H38O10/c19-1-3-21-5-7-23-9-11-25-13-15-27-17-18-28-16-14-26-12-10-24-8-6-22-4-2-20/h19-20H,1-18H2",YZUUTMGDONTGTN-UHFFFAOYSA-N,YZUUTMGDONTGTN-UHFFFAOYSA-N,Completed,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Ethers,Dialkyl ethers,Polyethylene glycols,NA,NA,NA
4364,"InChI=1S/C20H36N4O8/c1-16(25)23(31)14-6-2-4-12-21-17(26)8-10-19(28)24(32)15-7-3-5-13-22-18(27)9-11-20(29)30/h31-32H,2-15H2,1H3,(H,21,26)(H,22,27)(H,29,30)",VJQANBSDAGCDJE-UHFFFAOYSA-N,VJQANBSDAGCDJE-UHFFFAOYSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,N-acyl amines,NA,NA,NA,NA
4367,"InChI=1S/C24H47O9P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-24(28)31-19-23(27)21-33-34(29,30)32-20-22(26)18-25/h9-10,22-23,25-27H,2-8,11-21H2,1H3,(H,29,30)/b10-9-/t22?,23-/m1/s1",FQQQKGAFQIIGLQ-VYFUBJQISA-N,FQQQKGAFQIIGLQ-VYFUBJQISA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoglycerols,Lysophosphatidylglycerols,NA,NA,NA,NA
4393,"InChI=1S/C24H47O9P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-24(28)31-19-23(27)21-33-34(29,30)32-20-22(26)18-25/h9-10,22-23,25-27H,2-8,11-21H2,1H3,(H,29,30)/b10-9-/t22?,23-/m1/s1",FQQQKGAFQIIGLQ-VYFUBJQISA-N,FQQQKGAFQIIGLQ-VYFUBJQISA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoglycerols,Lysophosphatidylglycerols,NA,NA,NA,NA
4403,"InChI=1S/C26H52NO7P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-26(29)32-23-25(28)24-34-35(30,31)33-22-21-27(2,3)4/h12-13,25,28H,5-11,14-24H2,1-4H3/b13-12-/t25-/m1/s1",YAMUFBLWGFFICM-PTGWMXDISA-N,YAMUFBLWGFFICM-PTGWMXDISA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,Lysophosphatidylcholines,1-acyl-sn-glycero-3-phosphocholines,NA,NA,NA
4414,"InChI=1S/C23H46NO7P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-23(27)24-18-19-30-32(28,29)31-21-22(26)20-25/h9-10,22,25-26H,2-8,11-21H2,1H3,(H,24,27)(H,28,29)/b10-9-",VBNXVCGZJCGEKO-KTKRTIGZSA-N,VBNXVCGZJCGEKO-KTKRTIGZSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,Glycero-3-phospho-N-acyl-ethanolamines,NA,NA,NA,NA
4421,"InChI=1S/C21H44NO7P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-21(25)22-16-17-28-30(26,27)29-19-20(24)18-23/h20,23-24H,2-19H2,1H3,(H,22,25)(H,26,27)",FIXMIXZULLAMCB-UHFFFAOYSA-N,FIXMIXZULLAMCB-UHFFFAOYSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,Glycero-3-phospho-N-acyl-ethanolamines,NA,NA,NA,NA
4436,"InChI=1S/C24H47O9P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-24(28)31-19-23(27)21-33-34(29,30)32-20-22(26)18-25/h9-10,22-23,25-27H,2-8,11-21H2,1H3,(H,29,30)/b10-9-/t22?,23-/m1/s1",FQQQKGAFQIIGLQ-VYFUBJQISA-N,FQQQKGAFQIIGLQ-VYFUBJQISA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoglycerols,Lysophosphatidylglycerols,NA,NA,NA,NA
4437,"InChI=1S/C24H47O9P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-24(28)31-19-23(27)21-33-34(29,30)32-20-22(26)18-25/h9-10,22-23,25-27H,2-8,11-21H2,1H3,(H,29,30)/b10-9-/t22?,23-/m1/s1",FQQQKGAFQIIGLQ-VYFUBJQISA-N,FQQQKGAFQIIGLQ-VYFUBJQISA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoglycerols,Lysophosphatidylglycerols,NA,NA,NA,NA
4441,"InChI=1S/C20H36N4O8/c1-16(25)23(31)14-6-2-4-12-21-17(26)8-10-19(28)24(32)15-7-3-5-13-22-18(27)9-11-20(29)30/h31-32H,2-15H2,1H3,(H,21,26)(H,22,27)(H,29,30)",VJQANBSDAGCDJE-UHFFFAOYSA-N,VJQANBSDAGCDJE-UHFFFAOYSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,N-acyl amines,NA,NA,NA,NA
4447,"InChI=1S/C24H47O9P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-24(28)31-19-23(27)21-33-34(29,30)32-20-22(26)18-25/h9-10,22-23,25-27H,2-8,11-21H2,1H3,(H,29,30)/b10-9-/t22?,23-/m1/s1",FQQQKGAFQIIGLQ-VYFUBJQISA-N,FQQQKGAFQIIGLQ-VYFUBJQISA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoglycerols,Lysophosphatidylglycerols,NA,NA,NA,NA
4460,"InChI=1S/C21H44NO7P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-21(25)22-16-17-28-30(26,27)29-19-20(24)18-23/h20,23-24H,2-19H2,1H3,(H,22,25)(H,26,27)",FIXMIXZULLAMCB-UHFFFAOYSA-N,FIXMIXZULLAMCB-UHFFFAOYSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,Glycero-3-phospho-N-acyl-ethanolamines,NA,NA,NA,NA
4479,"InChI=1S/C24H47O9P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-24(28)31-19-23(27)21-33-34(29,30)32-20-22(26)18-25/h9-10,22-23,25-27H,2-8,11-21H2,1H3,(H,29,30)/b10-9-/t22?,23-/m1/s1",FQQQKGAFQIIGLQ-VYFUBJQISA-N,FQQQKGAFQIIGLQ-VYFUBJQISA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoglycerols,Lysophosphatidylglycerols,NA,NA,NA,NA
4480,"InChI=1S/C24H47O9P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-24(28)31-19-23(27)21-33-34(29,30)32-20-22(26)18-25/h9-10,22-23,25-27H,2-8,11-21H2,1H3,(H,29,30)/b10-9-/t22?,23-/m1/s1",FQQQKGAFQIIGLQ-VYFUBJQISA-N,FQQQKGAFQIIGLQ-VYFUBJQISA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoglycerols,Lysophosphatidylglycerols,NA,NA,NA,NA
4494,"InChI=1S/C30H62NO7P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-30(33)36-27-29(32)28-38-39(34,35)37-26-25-31(2,3)4/h29,32H,5-28H2,1-4H3/t29-/m1/s2",UIINDYGXBHJQHX-FMDNGZKQSA-N,UIINDYGXBHJQHX-FMDNGZKQSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,Lysophosphatidylcholines,1-acyl-sn-glycero-3-phosphocholines,NA,NA,NA
4504,"InChI=1S/C25H52NO7P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-25(28)31-22-24(27)23-33-34(29,30)32-21-20-26(2,3)4/h24,27H,5-23H2,1-4H3/t24-/m1/s1",SRRQPVVYXBTRQK-XMMPIXPASA-N,SRRQPVVYXBTRQK-XMMPIXPASA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,Lysophosphatidylcholines,1-acyl-sn-glycero-3-phosphocholines,NA,NA,NA
4508,"InChI=1S/C23H48NO7P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-23(26)29-20-22(25)21-31-32(27,28)30-19-18-24(2,3)4/h22,25H,5-21H2,1-4H3/t22-/m1/s1",RJZVWDTYEWCUAR-JOCHJYFZSA-N,RJZVWDTYEWCUAR-JOCHJYFZSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,Lysophosphatidylcholines,1-acyl-sn-glycero-3-phosphocholines,NA,NA,NA
4509,"InChI=1S/C23H48NO7P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-23(26)29-20-22(25)21-31-32(27,28)30-19-18-24(2,3)4/h22,25H,5-21H2,1-4H3/t22-/m1/s1",RJZVWDTYEWCUAR-JOCHJYFZSA-N,RJZVWDTYEWCUAR-JOCHJYFZSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,Lysophosphatidylcholines,1-acyl-sn-glycero-3-phosphocholines,NA,NA,NA
4535,"InChI=1S/C24H47O9P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-24(28)31-19-23(27)21-33-34(29,30)32-20-22(26)18-25/h9-10,22-23,25-27H,2-8,11-21H2,1H3,(H,29,30)/b10-9-/t22?,23-/m1/s1",FQQQKGAFQIIGLQ-VYFUBJQISA-N,FQQQKGAFQIIGLQ-VYFUBJQISA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoglycerols,Lysophosphatidylglycerols,NA,NA,NA,NA
