feature_number,mz,RT,C,H,O,N,S,P,Cl,Br,B,Se,I,H/C,O/C,N/C,AI-mod,DBE,DBE/C,Formula,ZodiacScore,Exp2_MediaBlank_A_DOM_I,Exp2_MediaBlank_A_DOM_II,Exp2_MediaBlank_A_Unfil_I,Exp2_MediaBlank_A_Unfil_II,Exp2_Pn-delicatissima_A_DOM_I,Exp2_Pn-delicatissima_A_DOM_II,Exp2_Pn-delicatissima_A_Unfil_I,Exp2_Pn-delicatissima_A_Unfil_II,Exp2_Pn-delicatissima_B_DOM_I,Exp2_Pn-delicatissima_B_DOM_II,Exp2_Pn-delicatissima_B_Unfil_I,Exp2_Pn-delicatissima_B_Unfil_II,Exp2_Pn-galaxiae_A_DOM_I,Exp2_Pn-galaxiae_A_DOM_II,Exp2_Pn-galaxiae_A_Unfil_I,Exp2_Pn-galaxiae_A_Unfil_II,Exp2_Pn-galaxiae_B_DOM_I,Exp2_Pn-galaxiae_B_DOM_II,Exp2_Pn-galaxiae_B_Unfil_I,Exp2_Pn-galaxiae_B_Unfil_II,Exp2_Pn-hasleana_A_DOM_I,Exp2_Pn-hasleana_A_DOM_II,Exp2_Pn-hasleana_A_Unfil_I,Exp2_Pn-hasleana_A_Unfil_II,Exp2_Pn-hasleana_B_DOM_I,Exp2_Pn-hasleana_B_DOM_II,Exp2_Pn-hasleana_B_Unfil_I,Exp2_Pn-hasleana_B_Unfil_II,Exp2_Pn-multiseries_A_DOM_I,Exp2_Pn-multiseries_A_DOM_II,Exp2_Pn-multiseries_A_Unfil_I,Exp2_Pn-multiseries_A_Unfil_II,Exp2_Pn-multiseries_B_DOM_I,Exp2_Pn-multiseries_B_DOM_II,Exp2_Pn-multiseries_B_Unfil_I,Exp2_Pn-multiseries_B_Unfil_II,Exp2_Pn-subpacifica_A_DOM_I,Exp2_Pn-subpacifica_A_DOM_II,Exp2_Pn-subpacifica_A_Unfil_I,Exp2_Pn-subpacifica_A_Unfil_II,Exp2_Pn-subpacifica_B_DOM_I,Exp2_Pn-subpacifica_B_DOM_II,Exp2_Pn-subpacifica_B_Unfil_I,Exp2_Pn-subpacifica_B_Unfil_II
5436,534.2839875,7.786645692,25,44,9,1,0,1,0,0,0,0,0,1.76,0.36,0.04,0,5,0.2,C25H44NO9P,0.999499499,0,0,0,0,0,22622.40203,1144845.6670000001,6735690.725,40408.99992,0,4112622.9110000003,6130819.05,0,22045.06293,595279.2944,298980.8492,134543.5345,33987.95988,637463.1957,298005.1653,32727.198010000004,0,461767.8651,751309.1866,48810.602960000004,32438.92638,619943.5342,2943416.548,0,37036.63411,431149.6279,1065891.633,0,52587.74294,793168.9772,29569.734089999998,0,24166.949940000002,304741.8383,255889.3777,0,31598.481439999996,232272.3202,230595.0728
5441,540.3068898,9.760510416,28,46,7,1,0,1,0,0,0,0,0,1.642857143,0.25,0.035714286,0.111111111,7,0.25,C28H46NO7P,1,23558.8216,0,0,30672.36984,0,21377.96503,13900000,7603937.441000001,38920.33927,71384.76121,6227549.301,12400000,111010.9823,37567.94058,21200000,11400000,623913.9744,434038.9451,21000000,17800000,4299044.173,2929268.9280000003,52800000,67500000,62644.15115,45685.35981,38700000,60600000,33586.203539999995,47853.346860000005,20300000,33400000,0,0,37700000,1016562.082,0,95440.8068,1009057.942,747536.1339,40737.846260000006,51418.45896,1408451.5269999998,765646.8257
5443,545.2718904,9.764759224,30,41,7,0,0,1,0,0,0,0,0,1.366666667,0.233333333,0,0.274509804,11,0.366666667,C30H41O7P,1,145268.25,87104.82499,264707.0384,82326.72337,3655960.814,1259472.238,1730000000,1800000000,612387.5568,588104.0627,1790000000,2340000000,371922.2112,171775.9264,1613738.791,668830.436,103272.5247,273153.6925,1429501.7769999998,987196.1827,599832.6512,302983.5372,10200000,11900000,160833.081,249086.28600000002,6253099.531,4441043.171,120904.3832,156390.3915,92754.251439999993,136810.0635,102203.4753,300245.8662,0,0,91246.38217000001,38771.236000000004,176791.4543,63048.00374,46576.14148,34566.70712,73590.40236000001,65831.32757000001
5448,560.3589167,10.0552633,32,49,7,1,0,0,0,0,0,0,0,1.53125,0.21875,0.03125,0.181818182,9,0.28125,C32H49NO7,1,0,0,0,0,46974.40077,75034.65775,0,311312.5404,72712.95588,0,140704.6762,0,0,0,165644.1243,0,0,40646.72621,0,0,0,0,0,463259.9786,46096.06043,0,0,396912.8132,0,0,59247.8243,0,0,0,0,0,274901.0476,121644.2582,133180.8034,167484.7952,0,143050.7759,180453.259,85788.16007
5450,563.3900404,12.18028918,40,50,2,0,0,0,0,0,0,0,0,1.25,0.05,0,0.384615385,16,0.4,C40H50O2,1,9432.286144,7685.529381,9815.571107,19267.57338,10017.899640000001,10970.79366,35207.89075,47399.88365,0,23676.46185,35600.91268,130287.4886,0,0,147725.0345,6116.297006000001,5561.439751,10226.62434,68758.64656000001,7560972.583,24637.46327,14178.474580000002,660258.7725,828738.7036,8250.146389,0,5488298.225,940811.9554,13795.91331,0,32730.50287,42363.665,0,0,67540.35056,24856.477909999998,34064.418789999996,13992.14631,11300000,1070252.975,19530.84039,10650.53908,1276006.644,4043197.707
5451,566.3233945,9.925831475,30,48,7,1,0,1,0,0,0,0,0,1.6,0.233333333,0.033333333,0.142857143,8,0.266666667,C30H48NO7P,1,0,0,0,0,49204.31015,100468.7606,1235072.092,1385783.769,96689.35425,0,1552806.9319999998,2355991.549,0,0,4894735.61,8633940.864,163886.1581,0,2466434.71,2351110.2830000003,679183.9828,601528.3413,30400000,7547469.083,0,0,15700000,3121796.262,0,0,542723.4987,471910.9482,0,0,570048.3269,521153.696,99616.29967000001,40347.04778,575776.2404,332878.9836,65810.83432000001,50564.19453,935383.8815,739450.6425
5452,566.3220202,9.96383307,30,48,7,1,0,1,0,0,0,0,0,1.6,0.233333333,0.033333333,0.142857143,8,0.266666667,C30H48NO7P,1,0,0,0,0,294715.0407,100468.7606,655500.8865,652243.8937,96689.35425,56238.290810000006,776576.3979,2355991.549,0,0,35900000,5191612.888,163886.1581,0,36700000,20300000,339842.0634,312607.6121,38200000,33000000,0,0,18300000,19500000,0,0,4789533.346,9897547.222000001,0,0,12300000,521153.696,0,93164.42575,279929.8209,332878.9836,0,50564.19453,935383.8815,739450.6425
5458,578.3404169,10.21366473,26,43,6,9,0,0,0,0,0,0,0,1.653846154,0.230769231,0.346153846,0.178571429,10,0.384615385,C26H43N9O6,0.991791792,41459.27233,261384.642,232843.3969,41186.427,2254154.535,2674148.861,1544212.8830000001,1991612.007,3180322.598,3855934.385,740393.6769,1219896.087,3772986.74,3149324.954,1716348.85,2763918.063,3994263.23,3156058.337,5599815.112000001,6060062.872,5454127.387,4130927.481,3406393.9069999997,5142973.255,6549787.185,5335515.221,1702665.711,2000547.439,5295262.773,4519924.662,7350731.765,6861434.234,1442252.667,1504049.3159999999,1166155.535,55580.401829999995,12500000,11500000,13500000,14300000,14900000,13600000,18400000,17800000
5481,623.4109631,11.70897122,42,54,4,0,0,0,0,0,0,0,0,1.285714286,0.095238095,0,0.35,16,0.380952381,C42H54O4,1,14869.85931,30884.248910000002,26257.58182,19956.0134,35979.94013,121200.0161,238907.1024,105000000,10298.05747,11179.05505,61700000,34800000,13444.53254,30793.25645,1629595.523,117384.5265,19835.52101,10027.00142,37500000,335000000,33786.71278,11081.782159999999,200000000,214000000,40645.16425,4858.290878,21300000,9057146.832,32936.2605,92540.91432000001,273000000,4404963.732,130612.5386,70836.02633,191000000,11800000,322188.0556,313730.17,555000000,168000000,447544.3375,431268.2958,444000000,310000000
5483,636.2163758,8.727020829,27,45,8,1,0,4,0,0,0,0,0,1.666666667,0.296296296,0.037037037,0.083333333,8,0.296296296,C27H45NO8P4,1,0,0,0,0,131262.8096,630002.4334,772149.9127,890897.9427,0,30176.993430000002,601659.618,676774.4357,48880.58453,42118.53493,592447.2962,368714.8895,410132.8123,377417.8093,114010.6762,676502.1348,395977.6974,704221.0009,1466696.6609999998,1334458.43,29826.70885,30429.98632,359516.75299999997,1459777.1719999998,0,0,5134874.3610000005,10000000,0,24289.18999,5057678.262,298719.316,19405.05017,0,2886089.278,2708171.7630000003,0,0,1768591.744,2779558.361
5487,650.3966937,5.386493849,28,59,15,1,0,0,0,0,0,0,0,2.107142857,0.535714286,0.035714286,0,0,0,C28H59NO15,1,167658.9824,322714.9575,364262.5989,382461.9076,690004.5376,751198.8945,571677.2816,360494.541,532084.7494,936031.5443,926064.1476,698448.7681,1744656.445,1245368.27,1192848.487,1159589.515,365153.3992,549230.7885,541406.5541,331926.3019,198402.1039,179954.8226,198873.078,407407.7769,427058.6522,329181.1744,804827.0542,626831.9321,189681.9187,462039.4294,720559.3807,115289.996,320599.6872,174589.3252,192104.3183,4288.001763,1145306.216,1459145.8469999998,1019315.9040000001,1199176.113,1782832.754,1910364.9519999998,3131818.773,2998769.3030000003
5490,657.4147198,10.03871486,42,56,6,0,0,0,0,0,0,0,0,1.333333333,0.142857143,0,0.307692308,15,0.357142857,C42H56O6,1,0,0,0,0,41115.62657,0,3199570.46,2492334.933,130176.3542,211286.2124,6490265.958,2062961.499,0,79743.53074,4627460.921,2591198.046,630063.9832,0,13800000,13100000,0,512467.6659,83600000,21900000,51713.69725,342346.9193,15600000,10200000,60880.78268,0,8279803.909,3938476.8060000003,0,0,21200000,501457.9389,0,196154.9976,36700000,22500000,187297.6863,1005287.959,27300000,31700000
5496,675.3739747,10.52520525,37,54,11,0,0,0,0,0,0,0,0,1.459459459,0.297297297,0,0.174603175,11,0.297297297,C37H54O11,0.9996997,0,0,86072.11058,41551.39479,49888.971710000005,0,3017191.8710000003,4800468.331,54517.62312999999,0,7194680.72,7005908.623,163241.6862,22165.07472,2407575.035,872965.0616,323461.1976,336531.266,5705948.822000001,3640288.712,4548876.011,3350738.1,14800000,4240770.143999999,243602.8617,143186.2236,2084648.049,8417550.515,98107.41804,138003.4511,670149.7774,577484.9527,64665.05145,197652.8823,593795.8848,98762.99428,126594.90400000001,98651.99382,4430249.048,651755.9347,101961.8804,0,1824661.378,953134.9953
5501,719.4707232,12.21685065,41,66,10,0,0,0,0,0,0,0,0,1.609756098,0.243902439,0,0.111111111,9,0.219512195,C41H66O10,1,0,0,10145.621640000001,0,0,0,9900259.133,72200000,0,0,36000000,20600000,4860.474144,10058.17044,2703594.133,1102395.73,0,0,12300000,13700000,216119.7668,6636.212372999999,5597151.288,19000000,0,3989.124678,10600000,21600000,0,0,21500000,15300000,0,0,25600000,467993.7186,0,0,11300000,9698539.405,11192.06055,0,7794834.723999999,14100000
5503,736.4980914,11.54527565,41,69,10,1,0,0,0,0,0,0,0,1.682926829,0.243902439,0.024390244,0.071428571,8,0.195121951,C41H69NO10,1,0,0,11373.531809999999,15690.48965,20465.856509999998,36885.919310000005,194420.8674,7098710.02,17563.90972,44991.29809,2807650.213,2602261.512,9557.643239,25115.51346,368431.8751,126580.7161,59651.231739999996,16821.2316,2186138.304,1544111.8059999999,116728.9361,95878.18964,695182.6072,1660036.479,18560.50366,12255.07895,1923747.6069999998,3066214.99,13170.41953,0,786231.6571,363306.724,0,0,1380120.4019999998,57341.02295,150500.9919,389273.7309,1669237.741,1055139.987,32768.9489,229087.87399999998,788528.3928,1353338.3969999999
5505,743.4714201,11.83901373,43,66,10,0,0,0,0,0,0,0,0,1.534883721,0.23255814,0,0.157894737,11,0.255813953,C43H66O10,1,22321.507990000002,0,29027.146189999996,14364.4854,35875.60539,52533.73327,1145077.503,113000000,13698.316819999998,0,38800000,24500000,0,0,1207012.487,1700832.908,114072.2826,42443.26266,3132315.963,31100000,466531.6371,331924.4853,1228787.4209999999,502366.3328,0,0,36600000,50000000,0,21018.7375,21900000,13800000,20438.48128,12220.60376,22500000,934369.1483,0,0,1376893.9840000002,560474.4712,0,0,735470.6736,18600000
5506,756.4930665,10.39287113,40,69,12,1,0,0,0,0,0,0,0,1.725,0.3,0.025,0.015151515,7,0.175,C40H69NO12,1,0,0,0,39609.890380000004,0,0,3201498.747,0,0,0,6102984.191000001,116000000,0,0,1090380.2920000001,2577490.281,0,0,0,289214.2445,0,0,3223152.514,15200000,0,132630.145,158478.9999,1340584.707,0,0,0,0,0,0,0,1187165.131,0,102009.656,4907670.73,12100000,0,0,77776.04401,1108706.037
5533,170.0602818,2.560576336,7,10,1,2,0,1,0,0,0,0,0,1.428571429,0.142857143,0.285714286,0.714285714,4.5,0.642857143,C7H10N2OP,1,10575.330170000001,2296.552554,3699.266492,16592.36966,47558.94742,77833.12697,5966211.4860000005,5975956.136,21197.62228,10243.497870000001,8216318.319,6981372.683999999,105074.8294,53588.36559,7999419.056,7324295.056,1760744.2619999999,494982.0207,12800000,8525126.46,2281616.539,2079937.635,13200000,8353093.066000001,239474.6135,228229.9045,11600000,11000000,6258.131942,5734.425521,321919.7413,182270.9352,5609.94996,5277.169551,267796.8728,23830.5147,3753.8335060000004,12261.367629999999,280624.6173,465011.9652,8730.766418000001,9070.235061,426687.3386,596499.0503
5540,185.1287591,2.07230394,9,16,2,2,0,0,0,0,0,0,0,1.777777778,0.222222222,0.222222222,0.166666667,3,0.333333333,C9H16N2O2,1,28535.99536,57197.890589999995,41928.26668,51250.05744,69445.33837,71751.43097,199070.8223,300205.2736,100314.0412,287477.1862,144248.863,235059.695,199571.7489,85815.72031,199349.2124,140142.0539,552531.1029,79197.83452,179910.069,286805.8701,187080.2684,406844.5969,166104.6291,534967.7861,368599.8042,413969.9089,511181.6688,607246.5697,40915.00513,39569.539110000005,34835.11308,71155.61317000001,62825.29507000001,55096.57561,39096.76081,7117.835899,43607.445589999996,32108.311019999997,148540.4242,66206.07646,33066.201989999994,34885.63415,53962.55919,62024.77567
5544,203.0831673,1.072382364,11,10,2,2,0,0,0,0,0,0,0,0.909090909,0.181818182,0.181818182,0.75,8,0.727272727,C11H10N2O2,1,48357.48606,54567.43102999999,68164.39159,44180.84904,1525951.6369999999,283174.1656,1670124.031,524586.0869,381411.5528,188116.8668,1473890.555,1171991.707,99751.16103999999,33956.89945,1421468.725,1719437.9340000001,2007844.2219999998,703512.7823,2021683.378,1849916.592,1998463.572,634446.8588,1960875.969,1585504.655,71894.14747000001,101118.1288,2159180.851,2699821.725,41063.21989,35583.79472,112277.3495,38401.755880000004,18086.09821,68685.16147,139434.0043,14869.34915,67224.16804,92527.24418,161250.4757,83542.24515,93145.90455,52868.3507,102079.0555,150218.289
5546,204.1234371,3.836327679,9,17,4,1,0,0,0,0,0,0,0,1.888888889,0.444444444,0.111111111,0,2,0.222222222,C9H17NO4,1,152194.576,263324.2835,268435.408,392627.6481,3625620.11,1876486.8159999999,3416589.4189999998,4916402.188999999,3484760.7210000004,4952905.046,3225850.7430000002,4678896.493,2877261.3680000002,2466395.105,2906474.067,2607054.861,2730583.71,1142145.534,5079602.914,3913895.849,1296832.4440000001,887966.0954,1375794.756,1003219.719,3887775.675,3403790.414,1601806.741,1718053.394,570041.5533,436116.0597,512515.7673,159209.9035,627750.6418,710645.7887,309125.0959,17143.76794,283242.5013,300326.0216,211605.0698,323160.3023,4576565.51,4711243.808999999,533827.1164,553823.4920000001
5552,221.1903481,6.588300823,15,24,1,0,0,0,0,0,0,0,0,1.6,0.066666667,0,0.24137931,4,0.266666667,C15H24O,1,0,0,0,0,0,0,20041.56704,0,32121.43556,0,31496.69879,0,0,0,0,0,23993.03475,17288.15896,27931.17662,0,17862.018219999998,26034.736719999997,0,28018.99137,29901.476410000003,0,29050.076,0,20725.34304,23989.91948,18073.7252,9083.618531999999,0,14311.898130000001,0,1416.136406,0,19256.051059999998,0,15026.85976,0,16457.03805,0,0
5554,223.1092744,7.879145036,11,14,3,2,0,0,0,0,0,0,0,1.272727273,0.272727273,0.181818182,0.466666667,6,0.545454545,C11H14N2O3,1,16504.75391,14248.617530000001,59768.42972000001,25899.4997,3088792.955,4960979.364,3876800.605,3543027.1539999996,3280672.142,5207842.771000001,3759633.125,3554924.298,5360130.1219999995,6732843.342999999,12900000,17300000,22900000,26600000,23300000,22700000,6074037.829,7225171.802999999,18500000,13100000,8755448.723,15900000,17900000,18500000,47150.70862,43070.812999999995,34004.31251,33217.24294,52558.734110000005,68870.71188999999,16512.33156,3664.9565869999997,15349.78401,38686.07322,33937.48774,27855.80547,109216.0317,90651.3826,0,25790.99632
5555,225.2327792,5.652090572,14,28,0,2,0,0,0,0,0,0,0,2,0,0.142857143,0.083333333,2,0.142857143,C14H28N2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41730.91272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5557,237.1113997,5.858549584,13,16,4,0,0,0,0,0,0,0,0,1.230769231,0.307692308,0,0.363636364,6,0.461538462,C13H16O4,1,759588.7423,1004326.553,1350985.534,1834538.667,2804403.848,2994079.097,5804587.284,56900000,3911553.2410000004,1567263.299,3884917.8010000004,55400000,3049545.223,2357660.254,3455918.4439999997,3127120.545,5678215.717999999,3348910.123,6258661.044,4154440.19,2042053.2419999999,3158855.191,4252676.278,27900000,12400000,3923032.202,17800000,6617548.99,2458267.738,1887149.888,2687951.752,745849.4408,4552121.951,1734835.231,1732042.5980000002,20141.27769,961013.0151,933755.0757,326890.2935,785881.1290000001,3733581.959,3660807.703,753239.4152,1068681.144
5559,237.166384,3.838929097,11,24,5,0,0,0,0,0,0,0,0,2.181818182,0.454545455,0,0,0,0,C11H24O5,1,481404.2345,449624.1933,775799.1812,790870.7624,13100000,13900000,22800000,25000000,24100000,25000000,12900000,14400000,7291168.471,6008022.051,5565066.427,5365632.841,22500000,18600000,8387060.391,11800000,12100000,9981864.845,4167844.4080000003,14100000,12200000,10900000,26300000,10500000,9572859.872000001,9572107.55,7394047.065,8125163.182999999,6162840.032000001,4494465.063999999,5638096.415,60589.5064,18900000,18100000,18900000,6720957.635,39500000,42100000,40200000,39300000
5561,245.0982266,2.364314038,10,14,2,4,0,0,0,0,0,0,0,1.4,0.2,0.4,0.6,6,0.6,C10H14N4O2,1,1091275.408,210652.9526,652894.6026,325028.6914,3710012.4080000003,2416616.443,7116936.897000001,4707532.374,2041947.718,1435120.386,13000000,6650712.114,2529743.919,1799151.583,3209143.499,2469481.305,3103481.133,2514534.347,3739612.244,2949996.085,3185877.867,2003094.2240000002,2989769.29,3056513.9689999996,3730073.767,3784143.416,11200000,5198644.55,2495226.735,1968334.909,1507284.824,381260.7866,2585580.969,3067522.6380000003,2753098.0110000004,175430.7788,1404931.429,920096.0413,3513567.5289999996,693759.0287,1256592.32,2360370.122,674774.5372,1183003.342
5563,253.121375,2.382169937,12,16,4,2,0,0,0,0,0,0,0,1.333333333,0.333333333,0.166666667,0.375,6,0.5,C12H16N2O4,1,708143.6696,418518.8402,823031.7691,703512.8824,1898860.3290000001,1246473.614,3676507.292,2542768.391,1868619.05,5968346.267000001,3283624.438,1746662.5869999998,3081288.3439999996,1278276.01,8035500.196,9454280.419,442952.7887,2324753.465,11000000,10800000,2317709.6580000003,2810243.317,9740831.981,11200000,1326113.94,1168421.951,12400000,13200000,2484439.735,520704.7449,2195066.933,513995.7691,1377994.689,1417645.211,937996.9208,15377.84749,3178170.526,1958780.832,6898203.674,4167437.673,3479141.939,4631565.509,1817518.219,2300568.96
5567,276.1072339,1.441169221,11,17,7,1,0,0,0,0,0,0,0,1.545454545,0.636363636,0.090909091,0,4,0.363636364,C11H17NO7,0.9998999,197302.5642,280801.2595,180934.4424,685386.5492,1028194.297,1061225.094,1877974.221,570833.3294,1104578.372,3643169.1769999997,525033.2135,932139.3939,178754.40300000002,219255.8874,243764.0016,730344.671,5156553.848,4085720.672,267263.407,551122.4338,4030365.1960000005,3372519.2339999997,4052488.04,3459683.562,426245.5349,297684.7652,759238.5129999999,862698.6708,4301669.131,3825185.0310000004,1474078.994,4102620.095,1864443.53,4900363.393,1360976.395,120291.9167,1010651.8,2475070.241,3739127.8060000003,1085136.537,408628.5223,767875.5921,1382791.356,339477.7369
5571,285.2420687,9.996653748,17,32,3,0,0,0,0,0,0,0,0,1.882352941,0.176470588,0,0.032258065,2,0.117647059,C17H32O3,1,329943.9839,421276.0268,296881.923,228142.6816,1083975.6,1555282.747,88500000,15800000,74781.90572000001,112313.4492,114000000,144000000,607218.4408,596454.9773,96000000,16300000,27100000,3965653.647,27100000,58100000,62400000,46600000,65200000,58700000,2060380.023,728737.8772,60900000,23700000,208709.9803,198801.3009,34200000,50300000,226797.6796,209228.9858,52800000,8016470.123,98623.9964,42765.60611,8213872.627,5463966.681,113440.1688,185458.8762,1648104.657,3060655.3680000002
5572,293.2947585,5.981320832,19,36,0,2,0,0,0,0,0,0,0,1.894736842,0,0.105263158,0.117647059,3,0.157894737,C19H36N2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20495.65991,0,0,0,0,0,0,0
5577,305.2102133,9.247358175,19,28,3,0,0,0,0,0,0,0,0,1.473684211,0.157894737,0,0.257142857,6,0.315789474,C19H28O3,1,1195135.692,942454.1499,1034291.252,1026849.33,6217518.647999999,2660349.194,151000000,140000000,478109.2141,1051693.274,136000000,218000000,16400000,16700000,191000000,190000000,89000000,85000000,210000000,209000000,217000000,174000000,238000000,245000000,55100000,47400000,181000000,252000000,1042768.6340000001,2039479.3730000001,12900000,44000000,3073509.9960000003,3230197.76,63000000,987767.1976,718845.3453,1161827.729,4597527.641,4111118.08,744775.9954,802080.8697,3635390.878,3255636.874
5579,309.1319733,3.708302288,16,20,6,0,0,0,0,0,0,0,0,1.25,0.375,0,0.307692308,7,0.4375,C16H20O6,1,1834463.491,2720126.9480000003,2392369.451,4092941.4469999997,5867643.762,5100931.243,26400000,6714131.788,5573203.279,4993208.731000001,27300000,28900000,4544485.016,4392033.49,4380962.165,3277416.9469999997,5201273.772,16500000,25600000,11900000,62000000,3807392.547,2139754.986,3553040.461,5160635.8780000005,2604621.171,25100000,25900000,4465741.342,4551007.21,4451327.183999999,2157529.847,3725262.874,4074175.793,3889222.4189999998,351044.1862,4129013.8619999997,2996256.111,4574827.808,4290345.507,4144661.562,3376654.0719999997,4569011.208000001,3462820.1160000004
5580,309.2054148,6.235384309,18,28,4,0,0,0,0,0,0,0,0,1.555555556,0.222222222,0,0.1875,5,0.277777778,C18H28O4,1,259293.3615,199349.2937,120975.5226,272860.3868,2809841.565,2991484.4469999997,1218527.936,1293709,3026799.96,4466257.022,2021881.4030000002,3625988.4480000003,3990423.837,6638643.65,3234071.0760000004,1539194.102,8100492.527000001,15200000,4930854.624,4231541.48,12700000,9305722.912999999,9603523.389,8573789.824,6963711.5479999995,4699140.057,6217125.234,9893768.689,332746.614,264315.7084,459906.9741,1404683.3530000001,420968.9016,588670.5606,864863.5715,50869.23084,639826.9861,259565.417,2869011.147,4892224.598999999,524033.7782,674824.1533,892834.1934,1023509.708
5584,321.2054243,9.691054534,19,28,4,0,0,0,0,0,0,0,0,1.473684211,0.210526316,0,0.235294118,6,0.315789474,C19H28O4,1,3717349.684,3325535.5360000003,4573756.108,4896550.246,2021980.814,36700000,12600000,8762458.517,1919033.976,1873562.0869999998,5868523.54,9280464.081,59600000,47100000,54800000,23900000,37500000,35400000,29600000,15300000,150000000,141000000,39300000,12000000,91300000,87000000,36300000,29400000,31000000,29900000,40200000,56200000,24000000,24400000,44500000,1346600.378,14700000,11300000,20000000,29200000,2336217.6,2950437.4110000003,9824636.927000001,20100000
5586,327.2520934,9.568374197,19,34,4,0,0,0,0,0,0,0,0,1.789473684,0.210526316,0,0.058823529,3,0.157894737,C19H34O4,1,159742.6362,190440.3882,130272.5426,172312.0371,972385.7048,2029096.305,1910127.656,3085861.736,314391.2376,307457.2021,1732448.994,792599.8642,2957746.3680000002,3013348.445,4726563.177,4569539.84,13000000,9057715.314,3466695.1489999997,8801713.234,17600000,22400000,9185287.65,16200000,3795411.902,4194659.919,7447058.76,6624044.539,327975.5379,341530.4209,2715629.095,11300000,145555.2343,432374.9946,7321785.456,630164.4219,479470.0047,377623.9691,3205828.8660000004,464084.5476,254544.944,123944.3638,1234974.7659999998,1861786.5480000002
5588,329.1734006,7.120069686,18,26,4,0,0,0,0,0,0,0,0,1.444444444,0.222222222,0,0.25,6,0.333333333,C18H26O4,0.994994995,1166352.883,684472.6217,887203.2204,1088588.871,13800000,6690704.844,3801097.805,4574737.949,7604367.341,28100000,3601494.8310000002,2913229.885,4167587.95,7577239.03,1346447.4630000002,1555862.3190000001,19700000,7811875.904,5886606.145,5529205.642000001,5864802.591,5266706.031,2277879.9390000002,948362.786,6766487,5232540.095,974161.4716,2389787.776,4584238.117,4509501.883,3586800.795,4780230.471,3916772.5930000003,7007860.465,2955906.4639999997,120298.5665,5383712.775,5782434.882999999,4248710.653,6045244.267000001,5700773.085,5799161.312000001,3988895.703,9085139.158
5589,333.147529,3.378426041,17,20,5,2,0,0,0,0,0,0,0,1.176470588,0.294117647,0.117647059,0.44,9,0.529411765,C17H20N2O5,1,753043.4932,670383.2205,1046497.922,1045032.422,2097807.833,2977233.376,2003269.5369999998,2301718.554,2990923.82,3883499.077,1918157.669,1725807.1269999999,474199.8272,669169.5317,577356.3698,476491.3307,1409628.8490000002,1258251.2920000001,1100264.16,674431.4053,1087276.856,551788.3916,427323.3473,1093968.862,795602.6347,727000.3255,1047876.823,295714.7688,3229335.966,3060505.5,1317720.914,2650737.715,1726209.345,2245349.547,2037075.968,78272.65808,5609150.153,4842371.211,6010978.603999999,5588864.307,6318173.08,5298308.433,6950407.685,5504682.271000001
5590,333.1459436,3.734286562,20,18,2,3,0,0,0,0,0,0,0,0.9,0.1,0.15,0.6875,13.5,0.675,C20H18N3O2,1,4144409.377,3373017.6610000003,4194972.886,4354200.054,13300000,14000000,15300000,18300000,15500000,5858666.057999999,12200000,23500000,11400000,4684593.385,11600000,5826692.168,5463000.127,5586902.038,18600000,13900000,7291514.305,4571229.98,9322611.33,8489603.093,11500000,10700000,15300000,10700000,6694066.597999999,7353279.002,8108001.552999999,2808322.265,11100000,7608414.391,9442288.089,304440.5522,4931531.893,1368139.063,1288437.767,4331116.565,3007925.44,2894169.727,711184.165,5122087.456
5591,337.2367539,7.514578523,20,32,4,0,0,0,0,0,0,0,0,1.6,0.2,0,0.166666667,5,0.25,C20H32O4,1,30419.313410000002,36684.32653,59488.97332999999,46194.13237,3586408.483,8193492.3889999995,3584646.1939999997,5168271.836,868461.6365,620641.2915,6896424.198,2392464.131,4320008.26,2404051.476,784533.7806,743570.4115,12600000,5969911.56,2238838.224,1629289.711,24800000,18500000,3743116.026,7529931.427,10000000,7493801.562999999,2209035.278,4680578.7469999995,630102.1076,224337.6215,2794146.883,4908119.278,269765.7016,518981.6804,3882992.986,204663.8043,838363.692,845422.2463,10400000,10400000,791301.5359,761528.5506,3165055.108,4176697.12
5593,348.0714598,0.842447466,10,14,7,5,0,1,0,0,0,0,0,1.4,0.7,0.5,1,7,0.7,C10H14N5O7P,0.9997998,18331.66758,18007.992580000002,25015.091480000003,18668.55684,242928.5539,305657.376,13600000,57200000,63723.909620000006,56189.83122000001,16600000,60900000,41267.62676,49890.372610000006,16900000,13900000,756745.7676,502387.758,55700000,18600000,2161592.1980000003,1788876.54,16300000,29300000,266398.2028,752619.0811,84500000,64000000,4669.057879999999,51954.58911,4845356.54,8069253.975,40246.22956,47325.908760000006,7481414.745,1928513.0280000002,11708.1348,8688.951128,288503.6048,455282.1052,10690.46133,63113.32528,458407.3199,479106.3209
